"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","JLCPCB Price","LCSC Price"
"1","1","BH-18650-B1BA007 COPY","BT1","BAT-SMD_BH-18650-B1BA007","","BH-18650-B1BA007","MYOUNG(美阳)","C6937126","LCSC","0.2655",""
"2","3","22uF","C1,C3,C17","C0805","","CL21A226MAYNNNE","SAMSUNG(三星)","C602037","LCSC","0.0412",""
"3","1","100nF","C2","C0603","","CC0603KRX7R9BB104","YAGEO(国巨)","C14663","LCSC","0.0026",""
"4","6","10uF","C4,C5,C6,C7,C40,C41","C0603","","CL10A106KP8NNNC","SAMSUNG(三星)","C19702","LCSC","0.0058",""
"5","22","100nF","C8,C9,C10,C11,C12,C16,C18,C22,C23,C25,C26,C27,C28,C29,C30,C31,C32,C34,C36,C37,C38,C39","C0402","","CL05B104KO5NNNC","SAMSUNG(三星)","C1525","LCSC","0.0009",""
"6","4","22pF","C13,C14,C33,C35","C0402","","CL05C220JB5NNNC","SAMSUNG(三星)","C70464","LCSC","0.0021",""
"7","1","4.7uF","C15","C0402","","CL05A475KP5NRNC","SAMSUNG(三星)","C368809","LCSC","0.0026",""
"8","1","10uF","C19","C0402","","CL05A106MP5NUNC","SAMSUNG(三星)","C315248","LCSC","0.0077",""
"9","1","1nF","C20","C0402","","CL05B102KO5NNNC","SAMSUNG(三星)","C3860707","LCSC","0.0006",""
"10","2","1uF","C21,C24","C0402","","CL05A105KO5NNNC","SAMSUNG(三星)","C29266","LCSC","0.0017",""
"11","1","SS34BF","D1","SMBF_L4.3-W3.6-LS5.3-RD","","SS34BF","晶导微电子","C108836","LCSC","0.0075",""
"12","10","Header-Male-2.54_1x2","H1,H2,H11,H12,H13,H14,H15,H16,H17,H18","HDR-TH_2P-P2.54-V-M-1","","826629-2","TE Connectivity(泰科电子)","C86471","LCSC","0.0633",""
"13","5","Header-Male-2.54_1x10","H3,H4,H5,H9,H10","HDR-TH_10P-P2.54-V-M-1","","2.54-1*10P针","BOOMELE(博穆精密)","C57369","LCSC","0.0103",""
